"","X.3","X.2","stem.tag","X.1","X","sp.x.x.x","type.x","gx","npp.x","X0","X1","X2","X7","X10","shannon.fun","shannon.fun_tuk","npp_tuk.x","sp.x.x.y","type.y","npp.y","alienus","americana","fulva","herculeanus","impar","longispinosis","nearcticus","neogagates","novaeboracensis","noveboracensis","pennsylvanicus","picea","punctiventris","shannon","shannon.sp_tuk","npp_tuk.y","hill.sp","hill.fun","abundance.sp","sp.log","fun.log","npp.log"
"70",70,70,70379,70,70,"acerru","deciduous",128.183,0.00742855275615462,0,0,0,4,0,1,1,0.00742855275615462,"acerru","deciduous",0.00742855275615462,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0.00742855275615462,1,1,2,0.301029995663981,0,-2.12909578802108
"71",71,71,70486,71,71,"acerru","deciduous",128.5,0.0387462528704052,0,0,0,1,0,1,1,0.0387462528704052,"acerru","deciduous",0.0387462528704052,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0387462528704052,1,1,1,0,0,-1.41177029151622
"72",72,72,70494,72,72,"pinust","coniferous",125.008,0.000754500516259437,0,0,0,1,0,1,1,0.000754500516259437,"pinust","coniferous",0.000754500516259437,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000754500516259437,1,1,1,0,0,-3.12234045872663
"73",73,73,70526,73,73,"pinust","coniferous",133.733,0.000295534156761324,0,0,0,4,0,1,1,0.000295534156761324,"pinust","coniferous",0.000295534156761324,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0.000295534156761324,1,1,2,0.301029995663981,0,-3.52939231770762
"74",74,74,70534,74,74,"pinust","coniferous",134.03,0.000270506590213707,0,0,0,4,0,1,1,0.000270506590213707,"pinust","coniferous",0.000270506590213707,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0.000270506590213707,1,1,2,0.301029995663981,0,-3.56782214993418
"75",75,75,70550,75,75,"tsugca","coniferous",138.173,0.000257025279602569,0,0,0,4,0,1,1,0.000257025279602569,"tsugca","coniferous",0.000257025279602569,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0.000257025279602569,1,1,2,0.301029995663981,0,-3.59002415973495
"76",76,76,70644,76,76,"acerru","deciduous",136.47701,0.0253206743781243,0,0,0,9,0,1,1,0.0253206743781243,"acerru","deciduous",0.0253206743781243,0,0,3,0,0,0,0,0,0,0,0,6,0,1.88988157484231,1.22981912373371,0.0253206743781243,2,1,3,0.477121254719662,0,-1.59652473171954
"77",77,77,70672,77,77,"tsugca","coniferous",139.81799,0.000115742369288054,0,0,0,1,0,1,1,0.000115742369288054,"tsugca","coniferous",0.000115742369288054,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000115742369288054,1,1,1,0,0,-3.93650763171676
"78",78,78,70677,78,78,"pinust","coniferous",137.58299,-0.000248499654152839,0,0,0,4,0,1,1,-0.000248499654152839,"pinust","coniferous",-0.000248499654152839,0,0,2,0,0,0,0,0,0,0,0,2,0,2,1.25266443862413,-0.000248499654152839,2,1,2,0.301029995663981,0,NA
"79",79,79,70762,79,79,"tsugca","coniferous",137.59599,0.000432715085113375,0,0,0,4,0,1,1,0.000432715085113375,"tsugca","coniferous",0.000432715085113375,0,0,2,0,0,0,0,0,0,0,0,2,0,2,1.25266443862413,0.000432715085113375,2,1,2,0.301029995663981,0,-3.36379796436379
"80",80,80,70947,80,80,"tsugca","coniferous",135.69701,0.000996368461248655,0,0,0,1,0,1,1,0.000996368461248655,"tsugca","coniferous",0.000996368461248655,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000996368461248655,1,1,1,0,0,-3.00158002794651
