"","stem.tag","sp.x.x","dbh.2","type","gx","gy","dbh","agb","basal.area","agb.1","agb.2","npp"
"111",100858,"pinust",51.91,"coniferous",199.153,144.97701,46.2,1.229325882,1676.38525588205,0.0190156919204831,0.0255597225602966,0.00654403063981352
"112",100909,"pinust",54.78,"coniferous",195.39101,172.972,49.8,1.481586784,1947.81886115221,0.0230047463567411,0.0293002773283663,0.00629553097162515
"113",100965,"pinust",30.04,"coniferous",191.05099,190.158,29.1,0.379279349,665.083018746593,0.00588358976415809,0.0063779484781145,0.000494358713956402
"114",101005,"pinust",43.48,"coniferous",186.978,219.10001,39.1,0.808019445,1200.72456618365,0.0124509416523332,0.0163016486327863,0.00385070698045312
"115",110114,"pinust",34.05,"coniferous",206.97701,30.6012,32.9,0.520302757,850.122826043032,0.00803365362271987,0.00876557218044617,0.000731918557726297
"116",110840,"pinust",18.13,"coniferous",206.992,218.282,18,0.107933028,254.469004940773,0.00173875140669518,0.00177079415498923,3.20427482940586e-05
"117",110862,"pinust",39.5,"coniferous",210.367,203.61,38.3,0.766768109,1152.09271190608,0.0118145522403475,0.0127767518023767,0.000962199562029194
"118",120120,"pinust",51.98,"coniferous",239.444,26.342,48,1.352166216,1809.55736846772,0.0209527103336136,0.0256472901003311,0.00469457976671745
"119",120655,"pinust",45.65,"coniferous",228.19099,190.32201,43.2,1.039093262,1465.74146845885,0.01603654017861,0.0184464085601365,0.00240986838152656
"120",130062,"pinust",58.48,"coniferous",253.80701,3.0809,52.8,1.712010432,2189.56441584594,0.0266866379484551,0.0345871205586058,0.00790048261015079
"121",130706,"pinust",40,"coniferous",243.455,205.024,37,0.702370336,1075.21008569111,0.0108232307165787,0.013191209688899,0.00236797897232034
"122",130710,"pinust",21.36,"coniferous",249.76801,207.787,21.1,0.164026449,349.667116326178,0.00260228925029827,0.0026844332575581,8.21440072598318e-05
"123",150221,"pinust",22.58,"coniferous",286.72101,43.8573,22.5,0.194134383,397.607820219958,0.00306305971585849,0.00309077243638963,2.77127205311383e-05
"124",150799,"pinust",12.59,"coniferous",283.13101,139.814,13.8,0.053404792,149.57122623741,0.000885989066828755,0.00070194671220244,-0.000184042354626315
"125",150992,"pinust",37.23,"coniferous",285.01501,184.625,34.5,0.587593985,934.820163983813,0.00906255900051242,0.0109947931363707,0.00193223413585823
"126",190586,"pinust",31.24,"coniferous",367.56201,170.48199,30.4,0.424592102,725.833566685386,0.00657370970016413,0.00704451744726476,0.000470807747100632
"127",240717,"pinust",49.94,"coniferous",475.95001,154.77299,47.7,1.33123697,1787.00858719658,0.020621949359341,0.0231692370624412,0.00254728770310019
"128",270638,"pinust",21.23,"coniferous",530.685,103.66,21.3,0.16814091,356.327292751788,0.0026653395589377,0.00264316787837584,-2.21716805618578e-05
"129",300898,"pinust",31.79,"coniferous",583.52899,170.439,31.5,0.465302593,779.311327631118,0.00719425883508271,0.00736353524739988,0.000169276412317169
"130",301148,"pinust",19.82,"coniferous",586.81403,210.245,19.8,0.138768336,307.907495978336,0.00221449172504053,0.00222017235518461,5.68063014407504e-06
"131",310700,"pinust",54.43,"coniferous",608.48499,106.982,51.6,1.617625317,2091.16973393551,0.0251741026554425,0.0288274806657758,0.00365337801033334
"132",311113,"pinust",18.4,"coniferous",617.36499,174.763,18.9,0.122761512,280.552077947202,0.0019679156275964,0.00183848120430195,-0.000129434423294452
"133",30419,"querru",32.95,"deciduous",40.9421,66.6395,31.7,0.778960314,789.238760416462,0.591606422824697,0.648896893209378,0.0572904703846818
"134",60087,"querru",24.87,"deciduous",116.968,7.677363333,23.2,0.913442203,422.732707467043,0.280554686345824,0.331257996155695,0.0507033098098705
"135",60161,"querru",12.13,"deciduous",119.005,38.1154,14.2,0.094889175,158.367685667461,0.0867901395517946,0.0595564163955596,-0.027233723156235
"136",110795,"querru",24.74,"deciduous",215.845495,186.57549,22.1,0.485458289,383.596316984948,0.249803648817432,0.327134626240595,0.0773309774231624
"137",120049,"querru",23.96,"deciduous",233.74699,10.2221,23,0.338693264,415.47562843725,0.274808886046489,0.303022396381834,0.0282135103353455
"138",120371,"querru",40.1,"deciduous",230.622505,113.124,37.6,1.271346432,1110.36450748478,0.889611099713589,1.03756734327116,0.147956243557567
"139",120679,"querru",28.12,"deciduous",234.763,191.035,26.5,0.490099644,551.545860245858,0.385530624957194,0.444270881629543,0.0587402566723489
"140",120820,"querru",21.18,"deciduous",236.834,228.06,20.3,0.24406218,323.654729154455,0.203899787993479,0.22566503711964,0.0217652491261603
"141",120829,"querru",38.92,"deciduous",239.3833367,220.6609967,36,2.19242874,1017.87601976309,0.801796618712397,0.966082713374267,0.16428609466187
"142",130116,"querru",20.08,"deciduous",252.74699,21.1342,19.4,0.216599569,295.592452776264,0.182956303945186,0.198658204918228,0.0157019009730426
"143",130309,"querru",38.77,"deciduous",242.82401,107.058,35.4,1.033611838,984.229562443146,0.770227534311554,0.957207753979516,0.186980219667962
"144",130386,"querru",37.24,"deciduous",256.1173267,109.0896667,35.2,2.165763195,973.139740375974,0.759868093925095,0.869389439350127,0.109521345425032
"145",130622,"querru",23.92,"deciduous",255.7173333,169.4573333,23.6,0.816680764,437.435361085843,0.292254314101168,0.301814744600489,0.00956043049932037
"146",140176,"querru",30.71,"deciduous",266.98999,45.8445,16.8,0.148142026,221.670777637296,0.129715067782293,0.548403231084867,0.418688163302574
"147",140635,"querru",18.59,"deciduous",261.289,137.194,18.5,0.191103831,268.802521422777,0.163320866153337,0.165226226792683,0.00190536063934571
"148",150053,"querru",19.65,"deciduous",298.1485,17.4713,16.6,0.220130549,216.424317905801,0.126054854083693,0.188641720773037,0.0625868666893436
"149",150231,"querru",23.97,"deciduous",282.18701,52.8573,22.5,0.319750748,397.607820219958,0.260745884172048,0.303324747638902,0.0425788634668539
"150",150800,"querru",12.61,"deciduous",284.03201,139.341,14,0.091384381,153.9380400259,0.0838971578916537,0.0653446897795343,-0.0185524681121194
"151",150844,"querru",25.35,"deciduous",281.53699,145.98599,23.9,0.374455303,448.627284914256,0.301211970258148,0.346743698140371,0.0455317278822229
"152",150889,"querru",18.53,"deciduous",299.55399,157.817,20.8,0.260185808,339.794661412272,0.216108880787335,0.163954558396081,-0.0521543223912531
"153",151080,"querru",36.32,"deciduous",288.245,211.485,33,0.863666919,855.298599939821,0.651252734608231,0.818935694429652,0.167682959821421
"154",151141,"querru",19.22,"deciduous",280.841,238.636,18.8,0.199386751,277.591126871194,0.169722141666424,0.178925331192181,0.00920318952575669
